"FRF","Miquelon and Saint Pierre","French Franc (FRF)"
"MDL","Moldova","Leu (MDL)"
"FRF","Monaco","French Franc (FRF)"
"MNT","Mongolia","Tugrik (MNT)"
"YUN","Montenegro and Serbia","Yugoslav New Dinar (YUN)"
"XCD","Montserrat","East Caribbean Dollar (XCD)"
"MAD","Morocco","Dirham (MAD)"
"MZM","Mozambique","Metical (MZM)"
"MMK","Myanmar (Burma)","Kyat (MMK)"
"NAD","Namibia","Dollar  (NAD)"
"ZAR","Namibia","South African Rand (ZAR)"
"AUD","Nauru","Australian Dollar (AUD)"
"NPR","Nepal","Nepalese Rupee (NPR)"
"NLG","Netherlands (The)","Guilder (NLG)"
"ANG","Netherlands Antilles","Guilder (ANG)"
"XCD","Nevis and Saint Kitts","East Caribbean Dollar (XCD)"
"XPF","New Caledonia","CFP Franc (XPF)"
"NZD","New Zealand","Dollar (NZD)"
"NIO","Nicaragua","Cordoba Oro (NIO)"
"XOF","Niger","CFA Franc BCEAO (XOF)"
"NGN","Nigeria","Naira (NGN)"
"NZD","Niue","New Zealand Dollar (NZD)"
"AUD","Norfolk Island","Australian Dollar (AUD)"
"USD","Northern Mariana Islands","US Dollar (USD)"
"NOK","Norway","Krone (NOK)"
"OMR","Oman","Sul Rial (OMR)"
"PKR","Pakistan","Rupee (PKR)"
"USD","Palau","US Dollar (USD)"
"XPD"," ","Palladium Ounces (XPD)"
"PAB","Panama","Balboa (PAB)"
"USD","Panama","US Dollar (USD)"
"PGK","Papua New Guinea","Kina (PGK)"
"PYG","Paraguay","Guarani (PYG)"
"PEN","Peru","Nuevo Sol (PEN)"
"PHP","Philippines","Peso (PHP)"
"NZD","Pitcairn Islands","New Zealand Dollar (NZD)"
"XPT","Platinum","Ounces (XPT)"
"PLZ","Poland","Zloty (PLZ)"
"PTE","Portugal","Escudo (PTE)"
"STD","Principe and São Tome","Dobra (STD)"
"USD","Puerto Rico","US Dollar (USD)"
"QAR","Qatar","Rial (QAR)"
"FRF","R&eacute;union","French Franc (FRF)"
"ROL","Romania","Leu (ROL)"
"RUR","Russia","Ruble (RUR)"
"RWF","Rwanda","Rwanda Franc (RWF)"
"STD","S&atilde;o Tome and Principe","Dobra (STD)"
"ANG","Saba","Netherlands Antilles Guilder (ANG)"
"MAD","Sahara (Western)","Moroccan Dirham (MAD)"
"XCD","Saint Christopher","East Caribbean Dollar (XCD)"
"SHP","Saint Helena","Pound (SHP)"
"XCD","Saint Kitts and Nevis","East Caribbean Dollar (XCD)"
"XCD","Saint Lucia","East Caribbean Dollar (XCD)"
"FRF","Saint Pierre and Miquelon","French Franc (FRF)"
"XCD","Saint Vincent and The Grenadines","East Caribbean Dollar (XCD)"
"FRF","Saint-Martin","French Francs (FRF)"
"ESP","Samoa (American)","Spanish Peseta (ESP)"
"USD","Samoa (American)","US Dollar (USD)"
"WST","Samoa (Western)","Tala (WST)"
"ITL","San Marino","Italian Lira (ITL)"
"SAR","Saudi Arabia","Riyal (SAR)"
"SBL","Seborga","Luigino (SBL)"
"XOF","Senegal","CFA Franc BCEAO (XOF)"
"YUN","Serbia and Montenegro","Yugoslav New Dinar (YUN)"
"SCR","Seychelles","Rupee (SCR)"
"SLL","Sierra Leone","Leone (SLL)"
"XAG","Silver","Ounces (XAG)"
"SGD","Singapore","Dollar (SGD)"
"ANG","Sint Eustatius","Netherlands Antilles Guilder (ANG)"
"ANG","Sint Maarten","Netherlands Antilles Guilder (ANG)"
"SKK","Slovakia","Koruna (SKK)"
"SIT","Slovenia","Tolar (SIT)"
"SBD","Solomon Islands","Dollar (SBD)"
"SOS","Somalia","Shilling (SOS)"
"ZAR","South Africa","Rand (ZAR)"
"GBP","South Georgia","British Pounds (GBP)"
"GBP","South Sandwich Islands","British Pounds (GBP)"
"ESP","Spain","Peseta (ESP)"
"XDR"," ","Special Drawing Right (XDR)"
"LKR","Sri Lanka","Rupee (LKR)"
"SDD","Sudan","Dinar (SDD)"
"SRG","Suriname","Guilder (SRG)"
"NOK","Svalbard and Jan Mayen","Norwegian Krone (NOK)"
"SZL","Swaziland","Lilangeni (SZL)"
"SEK","Sweden","Krona (SEK)"
"CHF","Switzerland","Franc (CHF)"
"SYP","Syria","Pound (SYP)"
"TWD","Taiwan","Dollar (TWD)"
"TJR","Tajikistan","Ruble (TJR)"
"RUR","Tajikistan","Russian Ruble (RUR)"
"TZS","Tanzania","Shilling (TZS)"
"THB","Thailand","Baht (THB)"
"IDR","Timor (East)","Indonesian Rupiah (IDR)"
"TTD","Tobago and Trinidad","Dollar (TTD)"
"XOF","Togo","CFA Franc BCEAO (XOF)"
"NZD","Tokelau","New Zealand Dollar (NZD)"
"TOP","Tonga","Pa"anga (TOP)"
"TTD","Trinidad and Tobago","Dollar (TTD)"
"TND","Tunisia","Dinar (TND)"
"TRL","Turkey","Lira (TRL)"
"TMM","Turkmenistan","Manat (TMM)"
"USD","Turks and Caicos Islands","US Dollar (USD)"
"AUD","Tuvalu","Australian Dollar (AUD)"
"UGX","Uganda","Shilling  (UGX)"
"UAH","Ukraine","Hryvnia (UAH)"
"AED","United Arab Emirates","Dirham (AED)"
"GBP","United Kingdom (Great Britain)","Pound Sterling (GBP)"
"USD","United States Minor Outlying Islands","US Dollar (USD)"
"USD","United States of America","US Dollar (USD)"
"UYU","Uruguay","Peso (UYU)"
"USD","US Virgin Islands","US Dollar (USD)"
"UZS","Uzbekistan","Som (UZS)"
"VUV","Vanuatu","Vatu (VUV)"
"ITL","Vatican City (The Holy See)","Italian Lira (ITL)"
"VEB","Venezuela","Bolivar (VEB)"
"VND","Viet Nam","Dong (VND)"
"USD","Virgin Islands (American)","US Dollar (USD)"
"USD","Virgin Islands (British)","US Dollar (USD)"
"USD","Wake Island","US Dollar (USD)"
"XPF","Wallis and Futuna Islands","CFP Franc (XPF)"
"WST","West Samoa","Tala (WST)"
"MAD","Western Sahara","Moroccan Dirham (MAD)"
"WST","Western Samoa","Tala (WST)"
"YER","Yemen","Rial (YER)"
"YUN","Yugoslavia","New Dinar (YUN)"
"CDF","Zaire (now Congo-Kinshasa)","Congolese Franc (CDF)"
"ZMK","Zambia","Kwacha (ZMK)"
"ZWD","Zimbabwe","Zimbabwe Dollar (ZWD)"
